,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
2474,B. Estrela CM CAM,17,62,54,39,1,216,42,248,63,41,12.691580461311874
2475,B. Dieng ST,23,70,60,74,1,284,85,361,72,73,15.404745763080856
2476,M. Dean ST,19,60,48,59,1,269,60,296,59,62,13.493926933836812
2477,C. Webster CM CDM CAM,19,65,59,54,1,255,58,263,62,52,13.17115354157376
2478,K. Mier GK,23,77,67,71,1,111,50,187,20,10,15.89495209964411
2479,P. Weah RM LM,19,64,50,48,1,188,49,275,65,53,13.17115354157376
2480,T. Douvikas ST,23,73,62,72,1,301,74,377,74,75,15.955576721460545
2481,M. Bondswell LB LWB,21,55,51,31,1,247,32,249,56,30,13.17115354157376
2482,B. Traoré CB CM,19,48,43,30,1,214,37,278,58,29,14.151982794585487
2483,E. Darboe CDM CM,22,65,64,46,1,303,58,284,72,40,14.648419680899378
2484,S. Pattynama LB,24,60,60,54,1,278,60,322,63,55,13.623138665316818
2485,F. Draper ST,18,60,51,60,1,280,66,339,62,63,13.815510557964274
2486,R. Baker-Whiting RB LB LM,18,60,55,57,1,251,63,308,61,56,13.304684934198283
2487,H. Matriciani RWB CB LWB,23,56,53,35,1,272,38,299,58,32,14.508657738524219
2488,K. Fitz-Jim CM CDM,19,72,67,56,1,292,58,260,72,56,14.508657738524219
2489,Y. Kallon CF RM RW,22,71,59,64,1,256,70,337,68,62,14.557447902693651
2490,Karrikaburu ST,20,67,52,68,1,257,68,322,69,70,14.880221294956703
2491,23 M. Vušković CB,20,49,46,34,1,249,59,313,63,25,15.38412647587812
2492,N. Young-Coombes ST RW LW,20,61,53,62,1,242,64,288,57,65,13.592367006650065
2493,T. Lonergan ST,19,57,46,59,1,232,60,290,57,64,13.262125319779487
2494,L. Fiorini CM,21,68,61,60,1,301,60,319,66,57,14.28551418721001
2495,S. Akaydın CB,29,49,43,37,1,265,50,301,52,34,13.815510557964274
2496,M. Senaya RB RWB,22,67,57,46,1,262,42,293,68,48,15.03928598958639
2497,L. Gondou ST CF,22,73,62,76,1,311,79,400,76,78,16.25785759333348
2498,Z. Sertdemir CM,18,68,62,54,1,256,58,291,71,54,13.815510557964274
2499,C. Rushworth GK,21,70,70,68,1,101,53,213,30,6,14.808762330974558
2500,T. Leigh CAM ST CM,23,64,61,63,1,301,64,349,63,63,13.737549016494562
2501,L. Coulibaly RM ST,20,71,57,54,1,259,60,284,68,59,14.73180128983843
2502,23 G. Amanda ST LM,23,60,49,59,1,226,63,296,60,61,12.834681304952548
2503,C. Riedel CB,19,56,48,28,1,229,48,270,61,19,14.808762330974558
2504,O. Vargas CM CDM RM,17,71,62,42,1,285,48,249,69,35,14.22097566607244
2505,Diogo Monteiro CB,18,57,51,24,1,228,35,241,61,19,13.527828485512494
2506,S. Mannsverk CDM CM,21,68,64,60,1,316,64,345,69,60,14.845129975145433
2507,T. Goodrham RM LM RW,19,65,58,57,1,261,53,245,60,60,13.9108207377686
2508,M. Viti CB,21,53,50,35,1,249,56,303,60,26,15.176487111099874
2509,J. Castrop CM RB RW,19,73,66,53,1,318,50,298,72,55,14.914122846632385
2510,Daniel Penha CAM RM LM,24,72,71,66,1,284,68,309,75,65,14.690979295318174
2511,Medrano LB,23,65,58,46,1,254,59,288,67,42,14.457364444136669
2512,23 A. Bencze GK,20,66,57,60,1,75,43,172,13,8,13.737549016494562
2513,23 M. Mohebi LW ST,24,70,58,67,1,249,75,344,74,67,14.28551418721001
2514,N. Palacio CM CDM,22,68,65,61,1,317,60,343,74,64,15.250595083253597
