,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
1498,L. Bolton RM RW RWB,23,65,60,55,1,295,56,323,60,57,13.815510557964274
1499,D. Dumfries RWB RM,27,73,70,63,3,344,68,397,76,67,17.111347423968603
1500,A. Gómez LM LW CAM,35,82,80,76,3,327,79,326,80,75,16.166885815127753
1501,22 O. Ustari GK,34,72,70,76,1,158,53,218,26,14,13.17115354157376
1502,21 A. Valencia RB CDM,34,77,72,66,2,346,85,378,80,59,15.424948470398375
1503,23 G. Bale RW RM,32,79,81,84,4,348,90,395,81,81,16.835935444108635
1504,Willian LM RM,34,81,77,77,3,336,82,332,80,75,15.404745763080856
1505,G. Wijnaldum CM CDM,32,80,77,72,3,387,73,376,81,70,16.61887093887081
1507,J. Henderson CM CDM,33,77,81,73,3,379,77,383,81,71,16.38045991542581
1508,23 J. Boateng CB,33,63,72,49,4,312,76,326,68,34,14.808762330974558
1509,José Callejón LM ST RM,36,74,75,71,3,325,74,339,77,70,14.403297222866392
1510,J. King ST CF LW,31,76,70,75,1,329,77,383,76,75,15.38412647587812
1511,D. Welbeck ST,32,76,70,73,2,334,77,354,81,76,15.341566861459324
1512,İ. Gündoğan CM CDM,32,86,84,81,3,395,79,374,91,82,17.795192211866237
1513,T. Kaminski GK,30,76,69,75,1,143,52,223,16,14,14.845129975145433
1514,L. de Jong ST,32,72,71,79,3,337,83,409,82,81,16.64872390202049
1515,C. Smalling CB,33,62,58,47,3,327,42,320,65,54,16.811242831518264
1516,L. Hrádecký GK,33,87,66,78,3,131,50,212,20,11,16.11809565095832
1517,Alex Sandro CB LB,32,77,74,65,3,356,78,386,80,55,15.761420707019587
1518,B. Leno GK,31,85,75,79,3,141,56,255,35,9,16.588099280204055
1519,R. Pereyra CM RM CF,32,81,78,74,2,369,74,371,82,74,16.213405830762646
1520,X. Shaqiri CAM RM,31,77,76,74,3,315,87,349,77,68,15.068273526459642
1521,Adrián GK,36,71,67,70,1,151,50,234,23,16,12.254862809699606
1522,P. Pogba CM CDM,30,84,84,78,4,382,90,403,87,70,17.182806387950748
1523,Juanmi LM ST,30,80,71,77,1,291,77,361,81,80,16.41820024340866
1524,D. Burn CB LB,31,64,67,36,2,329,60,326,68,25,16.300417207752275
1525,S. de Vrij CB,31,69,64,41,3,306,65,358,72,25,16.860032995687696
1526,J. Svensson RB,30,74,70,60,1,342,75,371,74,55,15.38412647587812
1527,A. Oxlade-Chamberlain CM CAM,29,81,77,75,2,374,83,369,81,72,16.41820024340866
1528,V. Aboubakar ST,31,80,71,81,2,337,85,403,79,83,16.523560759066484
1529,D. Tadić LW RW,34,82,85,80,3,361,77,394,86,82,16.489659207390805
1530,M. Sels GK,31,80,74,78,2,135,56,231,33,16,16.06680235657077
1531,23 N. Schulz LB LM,29,67,65,46,2,341,65,325,64,39,14.808762330974558
1532,Deulofeu CF ST,29,84,76,78,3,313,78,362,83,78,16.67771143889374
1533,E. Martínez GK,30,85,83,82,3,170,62,265,38,16,17.622173047734595
1534,N. Pope GK,31,86,75,82,2,144,56,254,25,14,16.929025867174648
1535,R. Mahrez RM RW,32,89,82,81,3,328,82,369,91,82,17.80449460452855
1536,R. Jiménez ST,32,74,74,76,3,373,84,389,75,74,15.341566861459324
1537,Carvajal RB,31,79,76,54,3,354,68,354,81,51,16.90655301132259
1538,F. Thauvin CF ST RM,30,77,72,74,1,326,82,377,77,68,14.914122846632385
1539,A. Lozano ST LM,30,69,65,72,1,301,75,372,68,70,14.648419680899378
1540,S. Umtiti CB,29,64,68,62,3,325,83,372,67,51,16.300417207752275
1541,S. Haller ST,29,76,63,80,3,347,85,397,81,83,17.054189010128656
1542,M. Weiser RWB RM,29,80,74,63,2,347,58,334,78,65,16.06680235657077
1543,K. Ayhan CB CDM,28,68,71,53,1,316,79,377,75,35,15.096444403426338
1544,J. Martínez ST,30,74,60,75,2,298,82,362,74,76,15.520258650202699
1545,M. Frey ST,28,63,61,73,1,335,79,411,70,72,14.690979295318174
1546,J. Cabezas ST,19,60,45,62,1,270,62,337,60,64,14.077874822431765
1547,R. Durosinmi ST,20,71,60,71,1,304,73,382,74,72,15.955576721460545
1548,S. Homenchenko CM CDM LM,19,62,64,61,1,328,60,346,65,59,14.690979295318174
1549,O. Perea LM,17,71,55,60,1,235,58,254,72,67,14.403297222866392
1550,I. Maza CAM,17,67,58,58,1,247,62,280,65,59,13.710150042306449
1551,F. Marshall CAM CM RM,17,59,56,52,1,230,58,237,56,52,13.17115354157376
1552,S. López CF LW,17,62,56,61,1,260,62,293,60,65,14.077874822431765
1553,F. Esposito ST,18,57,44,65,1,229,65,324,56,68,13.815510557964274
1554,L. Sauer LW CAM,17,70,60,58,1,231,64,274,68,58,14.403297222866392
1555,F. Krätzig LB LM CM,20,68,57,44,1,262,47,254,67,34,14.077874822431765
1556,Y. Konak CDM CM,17,54,54,43,1,260,51,256,56,41,13.560618308335483
1557,M. Finkgräfe LB LM CM,19,65,55,36,1,248,45,261,65,31,14.077874822431765
1558,J. Donley CAM ST,18,63,59,60,1,247,59,290,63,62,13.9108207377686
1559,M. Lewis-Skelly CM CDM,16,60,57,47,1,268,51,268,61,47,13.122363377404328
1560,I. Moriba CM,20,74,63,71,1,314,73,347,75,74,15.341566861459324
1561,R. van den Berg CB,18,57,49,32,1,226,47,270,64,28,14.151982794585487
1562,I. Saibari CAM CM RW,21,76,71,68,1,307,74,359,78,68,16.06680235657077
1563,H. Siquet RM RB,20,70,74,59,1,322,73,348,72,51,15.424948470398375
1564,J. Hettwer RW ST,20,68,55,65,1,279,64,321,67,68,14.603967918328545
1565,J. Zemura LWB LB LM,23,67,59,39,1,276,42,264,67,41,14.914122846632385
1566,Mingueza RB CB RM,24,64,65,35,1,289,61,332,69,22,15.89495209964411
1567,Eom Ji Sung LM LW,21,72,61,64,1,293,64,318,66,63,15.096444403426338
1568,I. Hien CB,24,56,49,37,1,289,49,316,61,30,16.166885815127753
1569,S. Shoretire CAM ST LW,19,67,57,54,1,267,53,272,64,56,13.815510557964274
1570,D. Fofana ST,20,76,57,65,1,252,67,353,73,67,15.226497531674536
1571,J. Malatini RB CB,22,67,58,31,1,284,28,259,67,28,14.508657738524219
1572,T. Conway ST,20,65,46,64,1,235,67,311,65,69,14.557447902693651
1573,K. Kesler-Hayden RB LB RWB,20,65,60,48,1,279,42,269,61,55,14.508657738524219
1574,L. Mbete CB,19,58,48,32,1,240,49,284,60,27,13.790192749979985
1575,S. Beukema CB,24,62,58,55,1,299,67,356,64,50,15.89495209964411
1576,A. Zorgane CM CDM,23,74,74,71,1,349,79,399,77,69,15.955576721460545
1577,Paulo Bernardo CM,21,72,65,68,1,320,76,367,74,64,14.946912669455374
1578,A. Kamara CM CDM,18,67,59,43,1,261,58,292,66,41,13.815510557964274
1579,Carmona RM RWB RB,21,68,66,63,1,306,63,334,69,67,15.250595083253597
1580,J. Castrop CM RB RW,19,73,66,53,1,318,50,298,72,55,14.914122846632385
1581,I. Koné CM,21,69,66,59,1,291,67,345,72,55,14.946912669455374
1582,J. McAtee CAM CM,20,73,66,63,1,264,66,319,76,64,15.068273526459642
1583,J. Wilson-Esbrand LB LWB,20,69,60,41,1,284,54,264,64,37,14.648419680899378
1584,M. Amoura ST RM,23,76,61,74,1,292,74,324,72,77,15.123843377614453
1585,F. Lemaréchal CM RM CAM,19,67,67,54,1,312,63,318,69,50,14.77102200299171
1586,E. Jelert RB LB,20,73,63,57,1,323,60,333,71,57,15.176487111099874
1587,J. James CM CDM,18,66,60,57,1,290,59,286,68,58,14.151982794585487
1588,Peter RW LW LB,20,70,56,60,1,220,63,262,70,63,14.557447902693651
1589,C. Çanak CAM CM RM,18,75,64,58,1,257,64,272,74,57,14.603967918328545
1590,C. Wiley LM LB,18,68,54,36,1,253,20,221,65,49,14.22097566607244
1591,Éderson CM CAM,23,78,73,67,1,356,74,366,82,65,16.588099280204055
1592,N. Valentini CB,22,63,54,32,1,261,44,308,64,28,15.404745763080856
1593,L. Noubi CB RB,18,64,51,21,1,227,33,282,66,15,14.346138809026444
1594,A. Ojeda RW LW,19,74,63,56,1,267,61,269,71,54,15.009433026436708
1595,Vinícius Tobías RB,19,68,51,44,1,256,50,292,68,42,14.403297222866392
1596,W. Kambwala CB,18,54,50,30,1,242,46,252,50,25,13.304684934198283
1597,C. McNeill ST,19,61,55,60,1,243,65,311,62,62,13.560618308335483
1598,R. Bennett CB,19,53,48,37,1,233,52,287,52,31,13.592367006650065
1599,J. Feeney CB,18,41,42,31,1,212,47,241,50,27,13.122363377404328
1602,Tiago Gouveia RM LM,22,75,66,68,1,260,67,324,73,71,16.06680235657077
1604,A. Gaaei RB,20,66,57,48,1,286,52,307,66,48,14.557447902693651
1605,O. Óskarsson ST,18,65,57,64,1,268,66,337,66,67,14.346138809026444
1606,J. Gauto LM RM ST,19,71,67,65,1,247,73,349,64,61,15.201804919084164
1607,N. Brown LB CM,20,70,58,47,1,248,55,253,67,45,14.557447902693651
1608,M. Joseph ST,19,64,46,63,1,231,64,309,63,66,14.22097566607244
1609,W. Odobert LM LW RM,18,70,59,62,1,250,66,250,72,67,14.845129975145433
1610,H. Akman CM,18,70,55,51,1,250,57,244,66,47,13.17115354157376
1611,R. Pop RM LM,18,66,60,58,1,230,55,260,64,60,14.403297222866392
1612,K. Ortiz CDM CM,22,63,61,51,1,302,55,321,65,51,15.03928598958639
1613,L. Sousa LB,18,57,54,39,1,238,55,258,55,33,13.122363377404328
1614,B. Clark CM LW,18,64,60,52,1,264,56,264,63,52,13.345506928718539
1615,Fábio Jaló ST RW CAM,17,55,44,56,1,219,54,277,54,57,13.17115354157376
1616,J. Cabezas ST,19,60,45,62,1,270,62,337,60,64,14.077874822431765
1617,R. Durosinmi ST,20,71,60,71,1,304,73,382,74,72,15.955576721460545
1618,S. Homenchenko CM CDM LM,19,62,64,61,1,328,60,346,65,59,14.690979295318174
1619,O. Perea LM,17,71,55,60,1,235,58,254,72,67,14.403297222866392
1620,Carlos Vicente RM,24,67,66,67,1,247,69,335,70,69,14.73180128983843
1621,Trincão RW RM LW,23,81,70,74,1,299,73,344,81,77,16.300417207752275
1622,Iñaki Peña GK,24,73,77,68,1,84,58,201,21,6,15.424948470398375
1623,E. Laird RB RWB,21,73,65,54,1,297,63,334,72,54,15.201804919084164
1625,Valery RM LM LWB,23,74,68,65,1,322,67,339,73,69,15.687312734865866
1626,E. Holm RWB RB RM,23,66,61,60,1,315,69,391,70,57,15.424948470398375
1627,Aihen Muñoz LB,25,73,69,54,1,322,55,329,68,51,15.424948470398375
1628,N. Capaldo CM RB,24,74,71,69,1,346,70,374,74,71,15.60727002719233
1629,Um Won Sang RM ST RW,24,76,61,68,1,314,68,333,68,72,15.60727002719233
1630,23 G. Plata RM RW,21,82,69,69,1,312,73,326,82,68,16.972510979114386
1631,Moncayola CM CDM RB,25,78,75,67,1,352,70,344,78,68,16.835935444108635
1632,Edgar CB CDM,26,62,65,49,1,317,54,335,67,52,16.300417207752275
1633,S. Esposito ST CAM,20,72,70,70,1,275,72,342,75,70,14.946912669455374
1634,D. Olaru CM CAM,25,73,72,73,1,358,79,400,73,72,15.29711509888849
1635,T. Ballo CAM RM LW,21,75,62,59,1,292,62,274,73,57,14.808762330974558
1636,I. Gruev CDM CM,23,69,67,48,1,301,57,302,72,44,15.03928598958639
1637,Gustavo Assunção CDM CM,23,73,64,58,1,298,70,325,73,54,14.914122846632385
1638,T. Anjorin CAM,21,69,64,65,1,294,70,346,69,65,14.457364444136669
1639,D. Ramaj GK,21,72,79,65,1,125,59,213,15,7,14.946912669455374
1640,Mateu Morey RB RM,23,75,67,46,1,309,51,240,75,49,14.845129975145433
1641,C. Richards CB CDM,23,56,58,27,1,267,36,281,62,23,15.60727002719233
1642,H. Moldovan GK,25,74,66,70,1,133,50,217,15,17,14.880221294956703
1643,Guga Rodrigues CM,25,75,75,66,1,338,75,344,77,60,15.520258650202699
1644,L. Vázquez ST,22,67,59,69,1,295,72,369,70,70,15.009433026436708
1645,N. Lang CB RB,21,51,40,22,1,214,32,245,60,18,14.346138809026444
1646,J. Rudoni CM CAM CDM,22,71,65,62,1,318,71,358,73,59,14.946912669455374
1647,D. Bradarić LWB LM LB,23,69,65,55,1,312,59,321,68,53,14.845129975145433
1648,T. Dallinga ST,22,69,64,75,1,293,75,373,73,79,16.34123920227253
1649,K. Koindredi CM CAM LM,21,70,70,70,1,310,78,355,72,65,14.808762330974558
1650,R. Zerrouki CDM CM,25,75,73,65,1,350,76,386,77,58,16.012735135300492
1651,A. Rouault CB,22,56,60,30,1,274,45,292,65,25,16.012735135300492
1652,H. Boudaoui CM CDM,23,77,73,65,1,347,65,363,78,68,16.11809565095832
1653,J. O'Brien CB,22,50,50,41,1,259,56,323,60,38,15.176487111099874
1654,Matheus Henrique CM CDM,25,80,76,60,1,329,64,326,81,56,15.830413578506539
1655,J. Martínez CDM CM,28,71,60,47,1,296,62,343,75,45,15.123843377614453
1656,T. Moffi ST RW,24,72,54,77,2,256,80,404,75,79,16.556350581889475
1658,Samú Costa CDM CM,22,68,67,63,1,329,78,368,71,57,16.012735135300492
1659,F. Díaz CM CDM,20,72,68,65,1,330,72,355,70,59,15.424948470398375
1660,S. Hezze CDM CM,21,71,67,62,1,337,64,362,73,65,16.300417207752275
1661,M. Ramírez GK,22,75,69,73,1,90,52,203,18,8,16.06680235657077
1662,L. Oyen LM,20,71,65,60,1,252,62,280,70,64,14.77102200299171
1663,Francho Serrano CM,21,70,68,62,1,317,60,331,71,64,15.096444403426338
1664,W. Fish CB,20,56,52,34,1,245,50,306,63,29,14.73180128983843
1665,J. Ngankam ST RM,22,72,61,70,1,270,75,370,70,71,15.150511624696614
1666,F. Moumbagna ST,23,66,53,66,1,272,71,382,65,68,14.73180128983843
1667,A. Karabec LW RW CAM,19,74,69,65,1,297,66,325,72,64,15.201804919084164
1668,Tiago Tomás ST RW LW,21,77,58,70,1,303,76,360,77,71,16.06680235657077
1669,L. Gourna-Douath CDM CM,19,71,65,52,1,325,62,346,73,48,15.60727002719233
1670,W. Faghir ST,19,65,47,66,1,244,70,346,66,67,14.346138809026444
1671,C. Tengstedt ST,23,68,62,69,1,265,69,349,68,71,15.096444403426338
1672,Raúl Moro LM RM LW,20,72,61,55,1,242,53,205,73,61,14.603967918328545
1673,C. Özkacar CB LB,22,61,57,36,1,289,64,326,66,26,15.29711509888849
1674,E. Matazo CDM CM,21,75,70,59,1,322,68,351,74,56,15.60727002719233
1675,T. Corbeanu RM LM RW,21,71,66,58,1,265,61,324,69,58,14.946912669455374
1676,K. Çalhanoğlu LWB LB LM,20,67,64,51,1,289,62,316,65,45,14.557447902693651
1677,David Costa LW CF,22,81,67,68,1,264,66,272,79,69,15.687312734865866
1678,R. van den Berg CB,18,57,49,32,1,226,47,270,64,28,14.151982794585487
1679,I. Saibari CAM CM RW,21,76,71,68,1,307,74,359,78,68,16.06680235657077
1680,R. Orsolini RM CF RW,26,82,74,75,2,307,79,367,84,73,16.61887093887081
1681,Zubeldia CB,26,73,74,63,1,355,75,377,73,62,17.073607095985757
1682,Ronaldo Vieira CDM CM,24,71,64,58,1,325,65,337,72,53,14.603967918328545
1683,D. Turnbull CM CAM,23,71,76,75,1,332,78,349,75,72,14.914122846632385
1684,Marcão CB,27,70,60,36,1,303,52,328,74,31,16.588099280204055
1685,J. Mæhle LB LW RW,26,72,70,57,2,320,65,365,76,50,16.300417207752275
1686,J. Brekalo CF LW LM,25,81,76,74,2,284,78,333,81,73,16.166885815127753
1687,V. Rosier RB,26,76,67,52,1,322,64,348,75,45,15.89495209964411
1688,I. Sarr RM LM RW,25,79,66,76,1,275,82,375,77,75,16.11809565095832
1689,D. Samassékou CDM CM,27,71,61,49,2,333,60,330,71,42,15.27412558066379
1690,M. Di Gregorio GK,25,82,72,76,1,132,54,234,20,9,16.759949537130716
1691,A. Pinamonti ST,24,71,53,76,1,270,79,392,74,76,15.60727002719233
1692,Douglas Luiz CDM CM,25,79,84,76,2,386,78,383,83,74,17.09265529095645
1693,C. Stengs CAM RW,24,76,77,66,2,325,72,337,77,63,16.213405830762646
1694,A. Barkok CAM CF RM,25,77,67,69,1,304,77,355,77,67,15.03928598958639
1695,Melendo CM RM CAM,25,78,78,68,1,349,63,313,79,71,16.38045991542581
1696,A. Tanaka CDM CM,24,72,69,67,1,327,73,354,73,66,15.250595083253597
1697,E. Mason-Clark LM,23,71,58,64,1,271,64,342,67,68,14.457364444136669
1698,M. Terrier LW ST,26,79,75,81,2,315,79,393,82,84,17.034386382832476
1699,H. Wolf LM CAM LWB,24,73,67,68,1,313,69,344,73,68,14.845129975145433
1700,R. Cannon CB RWB RB,25,71,58,36,1,306,48,335,71,30,15.096444403426338
1701,M. Demiral CB,25,60,47,39,1,268,60,332,59,32,16.38045991542581
1702,F. Coman LW ST,25,75,67,70,1,298,74,349,77,69,15.201804919084164
1703,N. Nartey CM CDM LWB,23,73,67,49,1,307,51,295,74,55,14.808762330974558
1704,D. Zagadou CB,24,51,60,34,2,269,66,333,52,26,16.300417207752275
1705,M. Johnston LW RW,24,75,63,63,1,232,70,305,72,61,14.648419680899378
1706,L. Østigård CB,23,61,50,37,1,266,52,321,61,33,15.687312734865866
1707,Pepê RM LM RB,26,83,71,68,1,338,59,315,83,76,17.034386382832476
1708,E. Botheim ST,23,67,58,67,1,289,68,354,68,69,14.603967918328545
1709,Jeong Woo Yeong CAM CF,23,78,67,62,1,277,59,323,77,66,15.03928598958639
1710,P. Köhn GK,25,77,69,73,1,117,52,214,28,8,15.89495209964411
1711,M. Bakker LWB LM LB,23,70,65,54,1,318,75,356,69,50,15.60727002719233
1712,M. Antonucci CAM ST,24,72,66,68,1,284,73,341,72,67,14.845129975145433
1714,A. Boupendza LM LW ST,26,80,67,78,1,299,82,396,78,78,15.89495209964411
1715,Carles Pérez RM CF,25,80,70,74,1,277,85,363,83,73,16.11809565095832
1716,M. Olivera LB LWB,25,73,69,50,1,326,56,337,78,49,16.64872390202049
1717,T. Campbell ST LM,23,70,60,68,1,289,69,346,69,68,14.648419680899378
1718,Álex Centelles LB,23,70,66,52,1,307,64,337,73,49,15.319587954740548
1719,Nolaskoain CDM CB CM,24,66,63,59,1,312,55,319,68,65,14.457364444136669
1720,C. Baumgartner CAM CM CF,23,81,74,73,2,322,75,333,80,76,17.09265529095645
1721,Stephen Eustáquio CDM CM,26,73,75,64,1,361,69,363,75,61,16.34123920227253
1722,A. Saelemaekers RM RW LM,24,81,75,67,1,322,64,343,81,68,16.811242831518264
1723,T. John-Jules ST LW,22,65,55,62,1,259,64,324,65,65,14.077874822431765
1724,A. Appiah LM RM,22,70,53,60,1,234,61,255,67,62,14.077874822431765
1725,M. Kovář GK,23,75,77,73,1,125,58,201,35,9,16.06680235657077
1726,F. Winther CB,22,58,51,31,1,219,48,270,63,26,13.997832114758229
1727,A. Gholizadeh RM CAM CF,27,72,67,66,1,297,70,331,72,68,14.508657738524219
1728,K. Lewis-Potter LW LM RW,22,75,64,67,1,297,68,334,73,68,15.520258650202699
1729,A. Bayındır GK,25,79,72,73,1,128,54,225,16,10,15.830413578506539
1730,A. Idah ST,22,63,44,67,1,280,73,350,63,67,14.346138809026444
1731,M. Shaparenko CM CAM,24,78,77,72,1,363,73,354,80,70,16.588099280204055
1732,B. Omeragić CB,21,65,63,40,1,295,47,322,69,28,15.404745763080856
1733,Puado RM ST LM,25,77,69,76,1,335,75,391,77,79,16.454567887579532
1734,Carlos Vicente RM,24,67,66,67,1,247,69,335,70,69,14.73180128983843
1735,Trincão RW RM LW,23,81,70,74,1,299,73,344,81,77,16.300417207752275
1736,Iñaki Peña GK,24,73,77,68,1,84,58,201,21,6,15.424948470398375
1737,E. Laird RB RWB,21,73,65,54,1,297,63,334,72,54,15.201804919084164
1738,Arthur Cabral ST,25,76,64,79,1,308,78,404,79,83,17.014183675514957
1740,A. Miranchuk CF CAM,27,80,76,72,1,305,66,344,80,73,16.25785759333348
1741,J. Gbamin CDM CM,27,66,67,55,1,317,76,347,68,40,14.077874822431765
1742,Á. Correa ST RM,28,86,77,84,2,361,83,403,85,85,17.24949776244942
1743,P. Pérez CM CDM,37,71,72,66,1,372,73,342,75,63,13.304684934198283
1744,L. Giannetti CB,29,55,56,34,1,273,49,311,65,31,15.068273526459642
1745,A. Mitrović ST,28,71,61,79,1,328,84,415,77,81,16.883563493097892
1746,S. Lobotka CM CDM,28,83,81,70,2,377,73,370,86,70,17.553180176247643
1747,G. Simeone ST,27,75,64,79,2,316,83,390,78,81,16.523560759066484
1748,P. Galdames CM CDM CAM,26,71,69,60,1,303,74,352,72,54,14.28551418721001
1749,H. Traoré RB,31,76,72,57,2,333,72,376,77,52,16.556350581889475
1750,T. Bakayoko CDM CM,28,67,65,50,2,324,72,352,72,42,14.808762330974558
1751,A. Živković RW LW,26,81,73,73,1,339,78,338,81,73,16.25785759333348
1752,F. Honorat RM RWB,26,77,74,76,2,329,82,362,77,74,16.25785759333348
1753,Lee Jae Sung CAM CF CM,30,80,73,71,2,330,71,347,79,71,15.761420707019587
1754,T. Castagne RB LB RW,27,75,71,56,1,344,62,333,77,56,16.11809565095832
1755,F. Woodman GK,26,74,63,69,1,137,47,197,23,16,14.690979295318174
1756,S. Posch RB,26,46,58,29,2,262,42,305,54,23,16.34123920227253
1757,22 J. Rodríguez ST,27,81,67,79,1,332,80,386,81,81,16.759949537130716
1758,L. Torreira CDM CM,27,80,77,69,3,363,80,385,80,65,17.24949776244942
1759,A. Marušić LB RB,30,74,67,66,2,339,79,414,76,56,16.70588231586044
1760,K. Toko Ekambi LM LW ST,30,76,71,77,2,295,79,384,76,79,15.761420707019587
1761,S. Amrabat CDM CM,26,76,75,70,1,360,75,384,81,68,16.835935444108635
1762,R. Bensebaini LB CB,28,77,71,70,2,370,70,374,79,73,16.588099280204055
1763,K. Świderski ST CAM,26,71,62,74,1,304,73,372,75,78,15.520258650202699
1764,J. Bowen RM ST,26,81,76,79,2,328,76,379,82,83,17.14771506813948
1765,J. Larsson RW ST,26,73,68,71,1,323,72,361,72,71,14.845129975145433
1766,Gonçalo Guedes ST LM,26,81,71,80,2,333,87,384,81,78,16.64872390202049
1767,J. Boga LW,26,82,72,70,1,295,80,363,81,66,16.25785759333348
1768,R. Henry LB LWB,25,75,62,41,1,317,44,300,74,40,16.556350581889475
1769,B. Innocent CDM CM,27,67,56,43,1,301,47,325,68,41,14.403297222866392
1770,C. Chaplin CAM,26,75,68,72,1,295,71,330,73,73,15.096444403426338
1771,K. Iheanacho ST,26,78,71,77,1,328,81,371,80,77,16.012735135300492
1772,S. McKenna CB,26,51,46,32,1,239,59,322,58,22,15.068273526459642
1773,N. Mukiele RB RWB CB,25,72,68,49,2,333,67,362,74,40,16.811242831518264
1774,M. Eggestein CDM CM,26,73,69,60,2,329,76,366,75,54,15.60727002719233
1775,U. Çakır GK,27,76,74,76,1,156,56,251,24,13,16.38045991542581
1776,Kaku CAM LM,28,80,81,72,2,345,70,334,81,73,16.67771143889374
1777,K. Tierney LB,26,78,75,60,2,352,79,369,77,52,16.99356438831222
1778,W. Ndidi CDM CM,26,70,72,65,2,362,75,372,73,61,16.733281290048552
1779,23 Matheus Pereira CAM CM RW,26,77,75,68,1,318,72,340,77,65,15.520258650202699
1780,J. Reine-Adélaïde CAM RM CF,25,73,70,68,2,301,75,332,73,67,14.73180128983843
1781,M. Vargas RW LW LM,26,75,69,68,1,313,73,360,68,66,14.77102200299171
1782,André Silva ST,27,81,71,80,3,374,82,404,83,79,16.951004773893423
1783,M. Svanberg CM CDM,24,77,75,69,2,343,74,356,79,65,16.489659207390805
1784,S. Amallah CAM CM LM,26,74,74,76,1,378,77,371,75,75,15.424948470398375
1785,B. Chilwell LB LWB,26,78,77,60,2,354,74,347,80,58,16.929025867174648
1786,J. Aidoo CB,27,50,47,27,1,249,50,334,58,18,16.733281290048552
1787,M. Diakhaby CB CDM CM,26,59,55,39,1,308,51,310,62,36,15.955576721460545
1788,Matheus Reis CB LB LWB,28,74,67,53,1,333,60,358,75,50,16.41820024340866
1789,Arthur CM CDM,26,84,79,65,2,360,76,345,86,56,16.61887093887081
1790,Lucas Perri GK,25,80,74,72,1,145,56,259,14,11,16.34123920227253
1791,Nuno da Costa ST,32,72,63,69,1,295,74,360,73,68,14.22097566607244
1792,J. Lucumí CB,25,63,59,28,1,252,38,305,68,23,15.830413578506539
1793,A. Ounas RM ST,26,79,70,66,2,324,68,327,78,64,15.341566861459324
1794,R. Perraud LB,25,75,73,72,1,367,84,375,74,65,15.761420707019587
1795,A. Tuanzebe CB,25,68,62,36,1,310,53,295,68,26,15.150511624696614
1796,L. Kelly CB LB,24,67,63,40,1,307,50,324,71,34,15.424948470398375
1797,R. Del Castillo RW RM,27,80,76,71,2,324,73,347,79,70,15.89495209964411
1798,Y. Karamoh CF LM ST,24,76,68,68,1,287,69,336,77,68,15.29711509888849
1799,M. Wöber CB LWB,25,65,67,52,1,332,67,360,67,41,16.34123920227253
1800,A. Gómez LM LW CAM,35,82,80,76,3,327,79,326,80,75,16.166885815127753
1801,L. Podolski CF ST CAM,38,71,73,78,3,335,90,356,75,73,13.592367006650065
1802,22 O. Ustari GK,34,72,70,76,1,158,53,218,26,14,13.17115354157376
1803,Sokratis CB,35,60,53,53,3,289,77,352,60,47,14.22097566607244
1804,23 M. Özil CAM RM,33,78,83,70,4,296,68,250,80,70,15.687312734865866
1805,22 Marcelo LB,33,86,79,72,4,369,81,357,90,71,16.012735135300492
1806,Y. Sommer GK,34,90,83,79,3,162,62,254,25,13,15.761420707019587
1807,G. Wijnaldum CM CDM,32,80,77,72,3,387,73,376,81,70,16.61887093887081
1808,23 A. Modeste ST,34,66,62,75,2,312,77,381,67,77,14.808762330974558
1809,M. Sissoko CM CDM CAM,33,70,71,62,2,341,81,374,73,54,14.151982794585487
1810,Fernando CDM CB CM,35,73,74,62,2,361,76,385,78,54,15.955576721460545
1811,D. Welbeck ST,32,76,70,73,2,334,77,354,81,76,15.341566861459324
1812,W. Szczęsny GK,33,87,73,83,3,135,55,249,22,12,16.90655301132259
1813,A. Ramsey CM CAM,32,77,77,68,3,356,74,321,82,61,15.009433026436708
1814,L. Stindl CAM ST,34,76,77,76,3,367,78,359,78,74,15.068273526459642
1815,J. Steele GK,32,72,78,72,1,122,59,218,36,15,14.22097566607244
1816,21 A. Uchida RB RWB,32,68,69,46,2,311,64,311,68,36,13.790192749979985
1817,M. Götze CAM CF LM,31,84,83,74,4,369,75,364,88,75,16.883563493097892
1818,N. Otamendi CB,35,59,64,57,3,329,69,382,66,54,15.89495209964411
1820,R. Rodríguez CB LM LB,30,75,75,67,2,366,78,369,78,58,15.341566861459324
1821,Villalibre ST,25,70,56,72,1,292,80,394,72,74,15.226497531674536
1822,Neto GK,33,83,72,71,2,130,54,243,24,15,15.341566861459324
1823,T. Cairney CM CAM,32,76,77,72,1,334,74,351,79,70,15.009433026436708
1824,D. Burn CB LB,31,64,67,36,2,329,60,326,68,25,16.300417207752275
1825,L. Insigne LW CF LM,32,85,80,78,4,297,79,321,85,77,16.61887093887081
1826,Cláudio Ramos GK,31,72,64,72,1,126,48,257,20,14,14.28551418721001
1827,Luis Alberto CM,30,84,85,77,2,316,82,359,90,75,17.516812532076766
1828,Oriol Romeu CDM CM,31,67,69,54,2,360,78,363,75,45,16.523560759066484
1829,23 Allan CDM CM,31,79,73,69,2,364,73,360,79,71,16.523560759066484
1830,Danilo Pereira CB CDM,31,70,70,63,3,359,75,396,75,57,16.67771143889374
1831,R. Morrison CAM CM,30,69,67,62,1,289,64,282,69,61,13.623138665316818
